sim_id,total_mass,ell,em,match,phase_diff_per_cycle,f_lower_mode
SXS:BBH:0001,10,2,2,0.9868186803818795,0.32992907806281857,105.09490482119031
SXS:BBH:0001,10,2,1,0.30763519832362113,3.024357572103473,52.547452410595156
SXS:BBH:0001,10,3,3,0.22739128312799048,0.11068776455407729,157.64235723178547
SXS:BBH:0001,10,4,4,0.893290178920864,0.05221814022791533,210.18980964238062
SXS:BBH:0001,10,3,2,0.984348534436829,0.13301752288733862,105.09490482119031
SXS:BBH:0001,10,4,3,0.402657179486532,0.999720725349261,157.64235723178547
SXS:BBH:0001,15,2,2,0.9817207184028436,0.027376359282245903,70.06269725807326
SXS:BBH:0001,15,2,1,0.3295154816881012,2.341300978345941,35.03134862903663
SXS:BBH:0001,15,3,3,0.2539180329191767,1.8931513555278785,105.09404588710989
SXS:BBH:0001,15,4,4,0.9448738870728095,0.630424126755734,140.1253945161465
SXS:BBH:0001,15,3,2,0.9491740650685077,0.30374332615617144,70.06269725807326
SXS:BBH:0001,15,4,3,0.3163825389296109,0.176567940849166,105.09404588710989
SXS:BBH:0001,20,2,2,0.989018860796434,0.062298428239598115,52.546691310588514
SXS:BBH:0001,20,2,1,0.3139514329036005,2.3308321042018454,26.273345655294257
SXS:BBH:0001,20,3,3,0.27610268601050714,1.9055407456834934,78.82003696588276
SXS:BBH:0001,20,4,4,0.9536092222564609,0.7510601450642491,105.09338262117703
SXS:BBH:0001,20,3,2,0.9923595435443716,0.3150257480732609,52.546691310588514
SXS:BBH:0001,20,4,3,0.308312452729071,0.27622606093462826,78.82003696588276
SXS:BBH:0001,25,2,2,0.9866903072617802,0.05062830153834659,42.037167710329484
SXS:BBH:0001,25,2,1,0.3137212898653991,2.324737629339687,21.018583855164742
SXS:BBH:0001,25,3,3,0.2843426548382688,2.041564656595758,63.055751565494226
SXS:BBH:0001,25,4,4,0.9296455004651294,0.6447155970018559,84.07433542065897
SXS:BBH:0001,25,3,2,0.9796358775473012,0.1581274818265939,42.037167710329484
SXS:BBH:0001,25,4,3,0.316043290966584,0.36592400296212957,63.055751565494226
SXS:BBH:0001,30,2,2,0.9919708985362365,0.0453188840294776,35.030863682912305
SXS:BBH:0001,30,2,1,0.31269463127640446,2.322271275499233,17.515431841456152
SXS:BBH:0001,30,3,3,0.288161521986875,2.0445108742173708,52.54629552436846
SXS:BBH:0001,30,4,4,0.927109389453997,0.8165770246302535,70.06172736582461
SXS:BBH:0001,30,3,2,0.9937495026476026,0.162804333298976,35.030863682912305
SXS:BBH:0001,30,4,3,0.3306797897526422,0.45561921404339084,52.54629552436846
SXS:BBH:0001,35,2,2,0.9908724721173441,0.061196167259027684,30.026385874348644
SXS:BBH:0001,35,2,1,0.30689799466113854,2.321708887260473,15.013192937174322
SXS:BBH:0001,35,3,3,0.29233619821735923,2.0476614340148065,45.039578811522965
SXS:BBH:0001,35,4,4,0.9093415138860497,0.9081152163800856,60.05277174869729
SXS:BBH:0001,35,3,2,0.9884102257308103,0.16447442774082335,30.026385874348644
SXS:BBH:0001,35,4,3,0.34219118919651353,0.45733402019487457,45.039578811522965
SXS:BBH:0001,40,2,2,0.9943270107940838,0.05338032725552669,26.273042095430416
SXS:BBH:0001,40,2,1,0.30594495726400495,2.144147219441369,13.136521047715208
