catalog,sim_id,category,nrsur7dq4_calibration,total_mass,q,mass1,mass2,spin1z,spin2z,chi_eff,eccentricity,f_lower_nr,f_lower_sur,f_lower_match,error,match_22,phase_diff_22,n_cycles_22,f_lower_mode_22,match_21,phase_diff_21,n_cycles_21,f_lower_mode_21,match_33,phase_diff_33,n_cycles_33,f_lower_mode_33,match_44,phase_diff_44,n_cycles_44,f_lower_mode_44,match_32,phase_diff_32,n_cycles_32,f_lower_mode_32,match_43,phase_diff_43,n_cycles_43,f_lower_mode_43
SXS,SXS:BBH:0247,d,True,40.0,1.9999344359086244,26.666375264336487,13.333624735663513,-2.34575632498e-05,0.599955526173,0.1999739078973481,0.000132,24.71750806772265,27.56382155033268,27.56382155033268,,0.9928914051039242,0.0051814561047296,43.8240678394824,27.56382155033268,0.9175663136055908,0.0169877656140646,24.911396908340706,13.78191077516634,0.9914014655896703,0.0177800420880998,66.57807617629669,41.34573232549902,0.9790592225415744,0.3201347805605316,88.74353957957413,55.12764310066536,0.4043377621250625,0.0015172821691766,43.85295217878836,27.56382155033268,0.5654676077460272,0.0079562322047791,66.54558297294781,41.34573232549902
SXS,SXS:BBH:0249,d,True,40.0,1.9999707203984216,26.66653653383402,13.333463466165982,0.299963567495,-0.299938398222,0.0999942939157806,4.4e-05,23.872252385124906,27.39260054875152,27.39260054875152,,0.9919226483357642,0.0039004991963831,43.88588028917953,27.39260054875152,0.3274511475762595,0.0136426235764436,24.964369157334545,13.69630027437576,0.9890765959748412,0.0126947106898665,66.66440381837567,41.08890082312728,0.9805576173589337,0.2641799642627166,89.04888330313109,54.78520109750304,0.5886658785541249,0.0030328915677903,43.95266671713894,27.39260054875152,0.4273940907517226,0.0027914074319358,66.61296807506419,41.08890082312728
SXS,SXS:BBH:0250,d,True,40.0,2.000107171845805,26.667142968965955,13.332857031034044,0.299963578864,3.11809220679e-07,0.1999793950089185,5.4e-05,24.28545523472568,27.687801596615145,27.687801596615145,,0.9941200121089762,0.0041189006148536,44.62762540976389,27.687801596615145,0.4683864202271282,0.0095152427047978,25.295002153919576,13.843900798307573,0.992005468718902,0.0115089546256065,67.6761035999907,41.53170239492272,0.9827793566844214,0.2589531531868491,90.40644219289427,55.37560319323029,0.7270564762250945,0.0013003288330943,44.61623248574446,27.687801596615145,0.6607581909588114,0.0043261975680376,67.63254593900588,41.53170239492272
SXS,SXS:BBH:0251,d,True,40.0,1.999970035274654,26.66653348877936,13.33346651122064,0.299963708058,0.299942015187,0.2999564770287747,5.1e-05,24.462733732429637,27.92580270799427,27.92580270799427,,0.9922395096081764,0.0094493954201422,45.22023147339563,27.92580270799427,0.8621886914555724,0.0046593508745088,25.575451383479678,13.962901353997134,0.9830184145280992,0.0016687100733284,68.59893337117468,41.888704061991405,0.9781331775569044,0.3131171630522896,91.63173055509463,55.85160541598854,0.4741278925169906,0.0090949342805997,45.224354932149765,27.92580270799427,0.5206189578808578,0.0041882235459681,68.5593081785776,41.888704061991405
SXS,SXS:BBH:0253,d,True,40.0,1.9999341119415277,26.66637382441963,13.333626175580369,0.499537454078,0.499452032494,0.4995089795912903,4.9e-05,22.571754429856952,28.516033678326995,28.516033678326995,,0.989682729580728,0.003053417927602,47.269418645122826,28.516033678326995,0.966035075784822,0.0056867467389031,26.564169887631763,14.258016839163496,0.9862009147809409,0.0063958237839919,71.66844453493913,42.774050517490494,0.98545690456414,0.2437751951079533,95.78816588261805,57.03206735665399,0.9750384796148496,0.0004265499332416,47.28499831346803,28.516033678326995,0.9644067444567772,0.0037655049582643,71.64501240277666,42.774050517490494
SXS,SXS:BBH:0254,d,True,40.0,1.9999554690439163,26.666468748368462,13.333531251631536,0.600021501444,-0.599900674092,0.2000415057681261,5.22e-05,24.903931843211797,27.815331873491104,27.815331873491104,,0.9922731315770202,0.0039266854863293,45.3914697478278,27.815331873491104,0.4149736929287554,0.2387137684678396,25.1804302765752,13.907665936745552,0.9847066349173688,0.0008975895385137,68.81110746451854,41.722997810236656,0.9802599468878394,0.1791709909730203,91.93263976539076,55.63066374698221,0.5836570447835853,0.0065909070124908,45.39957512524638,27.815331873491104,0.5343012408795287,0.0145778015265491,68.73928053780337,41.722997810236656
SXS,SXS:BBH:0255,d,True,40.0,1.999981466181309,26.66658429363025,13.333415706369744,0.600024488477,-1.83018551306e-05,0.4000089893492909,3.79e-05,25.534141083076328,28.319999040566024,28.319999040566024,,0.9922414241442844,0.0049528269094248,46.85595503655184,28.319999040566024,0.3500228361029637,0.0247486085253759,26.3266307012566,14.159999520283012,0.9842173181122226,0.0012442888013257,71.0310759607214,42.47999856084904,0.9767347920731034,0.2402787578297729,94.89241364531352,56.63999808113205,0.5695003337851039,0.0042536657239364,46.86816169773438,28.319999040566024,0.4056147614155702,0.0036874316974978,70.99399277456415,42.47999856084904
SXS,SXS:BBH:0256,d,True,40.0,1.999957079198395,26.666475904819205,13.333524095180795,0.59992834899,0.599985848278,0.5999475156935501,7.79e-05,25.81439968476519,28.807927548900796,28.807927548900796,,0.9908317025840652,0.0061152346824869,48.40748063912843,28.807927548900796,0.9541471568279256,0.2505021550581665,27.10112809700808,14.403963774450396,0.988570704174681,0.012369733300932,73.34490812854283,43.21189132335119,0.9882456730100138,0.2434326384388126,98.00478272033394,57.61585509780159,0.9774761104326108,0.0073748739122967,48.41209623465575,28.807927548900796,0.9533078863763684,0.0108202727143466,73.33076342875876,43.21189132335119
SXS,SXS:BBH:0262,d,True,40.0,2.9999740683641245,29.999935170490023,10.000064829509972,-0.599953930645,-4.88473555518e-05,-0.4499766875338234,0.0002031,23.80137857101025,26.85661190004135,26.85661190004135,,0.9915753744405318,0.2875289025577882,37.68646647043716,26.85661190004135,0.870749247876448,0.0270981432652335,22.54994845078118,13.428305950020675,0.9909267616009906,0.0188786813172352,59.607203856532216,40.28491785006203,0.9909884140324988,0.0479808589890764,79.58652373789813,53.7132238000827,0.3125685185477175,0.0240167723202438,43.04515366975298,26.85661190004135,0.5194695116147665,0.0860960056910438,60.50740172281378,40.28491785006203
SXS,SXS:BBH:0263,d,True,40.0,2.9996710906520443,29.9991776590112,10.0008223409888,-0.60001710568,0.599845512278,-0.3000267837852081,0.0002052,24.65935715028418,27.261341290366765,27.261341290366765,,0.9910195467489024,0.2895877401253867,38.37940842989392,27.261341290366765,0.7513225776458794,0.0062815212298116,23.014082518348776,13.630670645183384,0.9912607509599972,0.0246000929153932,60.83104322459224,40.892011935550144,0.9907298310649448,0.0454778657221956,81.29146882077636,54.52268258073353,0.3629534370104939,0.1468877228661473,43.90562168288072,27.261341290366765,0.4782456690209579,0.101002660150468,61.83428526883126,40.892011935550144
