catalog,sim_id,category,nrsur7dq4_calibration,total_mass,q,mass1,mass2,spin1z,spin2z,chi_eff,eccentricity,f_lower_nr,f_lower_sur,f_lower_match,error,match_22,phase_diff_22,n_cycles_22,f_lower_mode_22,match_21,phase_diff_21,n_cycles_21,f_lower_mode_21,match_33,phase_diff_33,n_cycles_33,f_lower_mode_33,match_44,phase_diff_44,n_cycles_44,f_lower_mode_44,match_32,phase_diff_32,n_cycles_32,f_lower_mode_32,match_43,phase_diff_43,n_cycles_43,f_lower_mode_43
RIT,RIT:eBBH:1093-n100-ecc,a,False,40.0,1.0000000298023228,20.000000298023224,19.999999701976776,0.0,0.0,0.0,0.006,37.509508278250905,26.082475275881063,37.509508278250905,,0.9989488921493548,0.395883832838893,26.491064136763946,37.509508278250905,0.2348459514080365,58.79590229847735,1.4562200365459792,18.754754139125453,0.1830050425051727,24.391887933685545,7.845518660185569,56.26426241737636,0.9935083397662056,0.5410982078549498,51.64419360849149,75.01901655650181,0.99693870587775,1.0746645227404077,21.22344138588348,37.509508278250905,0.1053678976004419,14.174258272322604,11.337716966157522,56.26426241737636
RIT,RIT:eBBH:1094-n100-ecc,a,False,40.0,1.0,20.0,20.0,0.0,0.0,0.0,0.008,37.509508278250905,26.082475270145327,37.509508278250905,,0.9984864522090584,0.5073178842738263,26.84985920538211,37.509508278250905,0.2570665543420524,81.50594030914948,1.070661587072169,18.754754139125453,0.1567457342886589,19.283284418385104,9.357655346547268,56.26426241737636,0.9914956911209648,0.5442491250811907,51.36607934284728,75.01901655650181,0.9954454814716062,0.860726422314713,21.736882071273275,37.509508278250905,0.1298442534653482,29.74087792387531,6.402337752464589,56.26426241737636
RIT,RIT:eBBH:1095-n100-ecc,a,False,40.0,1.0,20.0,20.0,0.0,0.0,0.0,0.01,37.509508278250905,26.082475270145327,37.509508278250905,,0.9982301158823084,0.4251377599610186,26.33247287052722,37.509508278250905,0.2870771057143808,,,18.754754139125453,0.1593137400148666,18.265401405894824,9.691226755332377,56.26426241737636,0.9923273847171404,0.4380575590886588,50.15087454535294,75.01901655650181,0.9969634050034673,0.3523960114848599,23.278361183925785,37.509508278250905,0.1280184614054231,23.91769741978049,7.595239752994985,56.26426241737636
RIT,RIT:eBBH:1096-n100-ecc,a,False,40.0,1.0,20.0,20.0,0.0,0.0,0.0,0.015,37.509508278250905,26.082475270145327,37.509508278250905,,0.998494541734934,0.4159940674075872,25.93752349693753,37.509508278250905,0.2470586914040188,138.3242996451713,0.650846800325714,18.754754139125453,0.1591037283328542,19.707647723988043,9.025899110080887,56.26426241737636,0.9931177488212656,0.4550074304988841,49.58420406030853,75.01901655650181,0.996511293447914,0.8950363299375332,21.227445103273883,37.509508278250905,0.0706759222064954,22.95298778847746,7.741987386535259,56.26426241737636
RIT,RIT:eBBH:1097-n100-ecc,a,False,40.0,1.0,20.0,20.0,0.0,0.0,0.0,0.02,37.509508278250905,26.082475270145327,37.509508278250905,,0.9961069347117814,0.4334125497406667,25.65586467866209,37.509508278250905,0.2981771591113638,47.24235214704724,1.71314305298496,18.754754139125453,0.156718025289833,15.184226602173108,10.774946245602392,56.26426241737636,0.98456906162732,0.4466942208453926,48.79445333609405,75.01901655650181,0.9960178511396044,0.8029436984724948,21.207185166688674,37.509508278250905,0.119704117711397,40.600928992367606,4.7607655624014,56.26426241737636
RIT,RIT:eBBH:1098-n100-ecc,a,False,40.0,1.0,20.0,20.0,0.0,0.0,0.0,0.04,37.509508278250905,26.082475270145327,37.509508278250905,,0.9913162948033888,0.3269030324947297,23.840551435405388,37.509508278250905,0.3037598158587743,20.215306339473152,3.3625986167472397,18.754754139125453,0.1790079455326153,57.00916876457919,3.469380824820526,56.26426241737636,0.9734530683291908,0.472471214158798,46.230542249255386,75.01901655650181,0.9941948699474216,0.2606258078782753,21.73286223974604,37.509508278250905,0.0847492581881758,68.8006128672668,2.8095780530500023,56.26426241737636
RIT,RIT:eBBH:1099-n100-ecc,a,False,40.0,1.0,20.0,20.0,0.0,0.0,0.0,0.05,37.509508278250905,26.082475270145327,37.509508278250905,,0.9858601606617824,0.3272348486515731,23.166427032876108,37.509508278250905,0.2964240530108675,39.90458481884275,1.86892945018954,18.754754139125453,0.1955155823821376,23.323707947192773,7.204249621030029,56.26426241737636,0.9620700724530004,0.4901830626903799,44.98269777997651,75.01901655650181,0.9947977237483042,1.312277550687973,18.19233325234497,37.509508278250905,0.1218191001941471,27.74705525066801,6.026872146904704,56.26426241737636
RIT,RIT:eBBH:1100-n100-ecc,a,False,40.0,1.0,20.0,20.0,0.0,0.0,0.0,0.06,37.509508278250905,26.082475270145327,37.509508278250905,,0.975086078595498,0.7112428932673588,24.070499642912537,37.509508278250905,0.3473316161914739,22.39730631480131,2.931816041785868,18.754754139125453,0.2183836623893755,18.96469389150221,8.223206709939358,56.26426241737636,0.9253996331729468,0.4214090428518766,43.13909446119988,75.01901655650181,0.992038492604495,0.9030798887258384,18.69215414895818,37.509508278250905,0.0891848563803445,56.75456427307494,3.161264355965247,56.26426241737636
RIT,RIT:eBBH:1101-n100-ecc,a,False,40.0,1.0,20.0,20.0,0.0,0.0,0.0,0.07,37.509508278250905,26.082475270145327,37.509508278250905,,0.9732713563739418,0.7516938250608688,23.59261397413033,37.509508278250905,0.2957884844611265,106.88270445617025,0.7399323058004874,18.754754139125453,0.1570134912007077,29.679537646273378,5.624641011859265,56.26426241737636,0.9186289411107,0.3663592322203197,41.51561080794543,75.01901655650181,0.9881523060817904,1.3077718122109458,17.219515051273888,37.509508278250905,0.1118669762582094,37.60582212650012,4.412346114647591,56.26426241737636
RIT,RIT:eBBH:1102-n100-ecc,a,False,40.0,1.0,20.0,20.0,0.0,0.0,0.0,0.08,37.509508278250905,26.082475270145327,37.509508278250905,,0.9667542655258292,0.2825637618168768,19.332835079739564,37.509508278250905,0.2768141185035765,115.43338729545724,0.6654187679708623,18.754754139125453,0.1278615979040064,40.57254158325893,4.201083935691472,56.26426241737636,0.9109744513646356,0.0092792413840703,38.015002612607496,75.01901655650181,0.9888054574969316,0.5054889189056387,18.72949179628995,37.509508278250905,0.0951409178564554,22.30462344466408,6.590097342462682,56.26426241737636
