sim_id,total_mass,ell,em,match,phase_diff_per_cycle,f_lower_mode
SXS:BBH:0001,10,2,2,0.9842436475122152,0.36314279464453814,104.30079014445212
SXS:BBH:0001,10,2,1,0.3141277694430068,2.7596271959568304,52.15039507222606
SXS:BBH:0001,10,3,3,0.24841896756644366,0.22417872043036557,156.4511852166782
SXS:BBH:0001,10,4,4,0.9227054293680361,0.09040426168638685,208.60158028890424
SXS:BBH:0001,10,3,2,0.9737398180046378,0.13674604067401636,104.30079014445212
SXS:BBH:0001,10,4,3,0.48447557226498345,0.7939947771572133,156.4511852166782
SXS:BBH:0001,15,2,2,0.9872742403060432,0.03902942533910446,69.57754886815121
SXS:BBH:0001,15,2,1,0.31275545363301005,2.4748971948714313,34.788774434075606
SXS:BBH:0001,15,3,3,0.255522003493655,1.7441212406750393,104.36632330222682
SXS:BBH:0001,15,4,4,0.9375766302607004,0.8872818899230505,139.15509773630242
SXS:BBH:0001,15,3,2,0.9827978215335031,0.3142282241597979,69.57754886815121
SXS:BBH:0001,15,4,3,0.30705666384505587,0.05402403067860584,104.36632330222682
SXS:BBH:0001,20,2,2,0.984918178157836,0.07156805719198651,52.20299027959437
SXS:BBH:0001,20,2,1,0.31766502090506205,2.2963060307610275,26.101495139797183
SXS:BBH:0001,20,3,3,0.27060581898552666,1.883673923394438,78.30448541939155
SXS:BBH:0001,20,4,4,0.9428949686160228,0.7178668940369639,104.40598055918873
SXS:BBH:0001,20,3,2,0.9766197127457612,0.3235286354339323,52.20299027959437
SXS:BBH:0001,20,4,3,0.27884848040376803,0.23558686870377324,78.30448541939155
SXS:BBH:0001,25,2,2,0.990748817002171,0.05919031614172022,41.76873576482753
SXS:BBH:0001,25,2,1,0.3116407751635194,2.2920531056389324,20.884367882413766
SXS:BBH:0001,25,3,3,0.2838317911829551,1.8875597929777745,62.653103647241295
SXS:BBH:0001,25,4,4,0.9407681725770325,0.5432033604013202,83.53747152965506
SXS:BBH:0001,25,3,2,0.9933608321953528,0.16757467556171582,41.76873576482753
SXS:BBH:0001,25,4,3,0.31572399114133937,0.23716577661642563,62.653103647241295
SXS:BBH:0001,30,2,2,0.9903428595851672,0.07843553117418937,34.808893031178066
SXS:BBH:0001,30,2,1,0.312773594145868,2.117743787025662,17.404446515589033
SXS:BBH:0001,30,3,3,0.2899840657717999,2.0209260662267594,52.2133395467671
SXS:BBH:0001,30,4,4,0.9229493652128756,0.6365212633980231,69.61778606235613
SXS:BBH:0001,30,3,2,0.985621270033518,0.17137481575196775,34.808893031178066
SXS:BBH:0001,30,4,3,0.32898066038462026,0.34861872668605726,52.2133395467671
SXS:BBH:0001,35,2,2,0.9929520142963951,0.05717160820018099,29.836161417124995
SXS:BBH:0001,35,2,1,0.3063991429292979,2.1217239443264293,14.918080708562497
SXS:BBH:0001,35,3,3,0.29185384466893854,2.0086410452823484,44.75424212568749
SXS:BBH:0001,35,4,4,0.9136725712485653,0.8065972952493006,59.67232283424999
SXS:BBH:0001,35,3,2,0.9934186360351215,0.1582479269928746,29.836161417124995
SXS:BBH:0001,35,4,3,0.34216451992299596,0.3432083133589702,44.75424212568749
SXS:BBH:0001,40,2,2,0.9940373268560607,0.051101739199779936,26.10605874653162
SXS:BBH:0001,40,2,1,0.30669887237997445,2.1188537762226045,13.05302937326581
SXS:BBH:0001,40,3,3,0.29263893949954783,2.011493558888366,39.15908811979743
SXS:BBH:0001,40,4,4,0.9024409216236312,0.9834029526360585,52.21211749306324
SXS:BBH:0001,40,3,2,0.9932342134877946,0.16251040636288783,26.10605874653162
SXS:BBH:0001,40,4,3,0.35075705537940655,0.44800573946986594,39.15908811979743
SXS:BBH:0001,50,2,2,0.9957115490938345,0.075745288064827,20.883473827673352
SXS:BBH:0001,50,2,1,0.32103505306711877,2.118849143905599,10.441736913836676
SXS:BBH:0001,50,3,3,0.29463852221325526,2.017914937013206,31.325210741510027
SXS:BBH:0001,50,4,4,0.8814434270642232,1.0772449849521522,41.766947655346705
SXS:BBH:0001,50,3,2,0.9949201089006757,0.16795703665464504,20.883473827673352
SXS:BBH:0001,50,4,3,0.3631152660256427,0.6670950092101032,31.325210741510027
SXS:BBH:0001,60,2,2,0.9961663008955343,0.07843553117419073,17.401706911529764
SXS:BBH:0001,60,2,1,0.33300099715519427,2.1177437870256623,8.700853455764882
SXS:BBH:0001,60,3,3,0.2976076901859275,2.020926066226758,26.102560367294647
SXS:BBH:0001,60,4,4,0.8620649316375099,1.0808492895335837,34.80341382305953
SXS:BBH:0001,60,3,2,0.9950056519724114,0.17137481575196917,17.401706911529764
SXS:BBH:0001,60,4,3,0.37237811941658333,0.5628656219928362,26.102560367294647
SXS:BBH:0001,70,2,2,0.9961204050339066,0.06332949919459303,14.914829543236873
SXS:BBH:0001,70,2,1,0.3537202321173698,2.1179030456604173,7.457414771618437
SXS:BBH:0001,70,3,3,0.30373013936960674,2.0158107786437007,22.37224431485531
SXS:BBH:0001,70,4,4,0.8445943343391918,1.1641570560756724,29.829659086473747
SXS:BBH:0001,70,3,2,0.9946742205590343,0.16597412584396803,14.914829543236873
SXS:BBH:0001,70,4,3,0.3809050059305045,0.6651286930157199,22.37224431485531
SXS:BBH:0001,80,2,2,0.9959896336483255,0.06721445959088243,13.049776264981844
SXS:BBH:0001,80,2,1,0.370167190985964,2.1170535055914,6.524888132490922
SXS:BBH:0001,80,3,3,0.31288179389885223,2.0182849553706146,19.574664397472766
SXS:BBH:0001,80,4,4,0.8293925506132461,1.1668240660582638,26.099552529963688
SXS:BBH:0001,80,3,2,0.99450068838716,0.16875033515667068,13.049776264981844
SXS:BBH:0001,80,4,3,0.38833426178304853,0.6673276011507447,19.574664397472766
SXS:BBH:0001,90,2,2,0.9966394800463101,0.07843553117426678,11.599264966231397
SXS:BBH:0001,90,2,1,0.3843919294735021,2.1177437870256806,5.7996324831156985
SXS:BBH:0001,90,3,3,0.3246312940499612,2.02092606622677,17.398897449347096
SXS:BBH:0001,90,4,4,0.8153390883494966,1.1697148947607021,23.198529932462794
SXS:BBH:0001,90,3,2,0.9954362866985215,0.17137481575198055,11.599264966231397
SXS:BBH:0001,90,4,3,0.3958626161464011,0.6699890696462363,17.398897449347096
SXS:BBH:0001,100,2,2,0.9969022783786936,0.06850710118809476,10.438921907830508
SXS:BBH:0001,100,2,1,0.39713221085211287,2.1177064656546607,5.219460953915254
SXS:BBH:0001,100,3,3,0.33760963897455354,2.017303412182163,15.658382861745762
SXS:BBH:0001,100,4,4,0.8021486682569923,1.1656660869662558,20.877843815661016
SXS:BBH:0001,100,3,2,0.9958476176459582,0.16748565862193585,10.438921907830508
SXS:BBH:0001,100,4,3,0.40391442797373656,0.6665164546836093,15.658382861745762
SXS:BBH:0005,10,2,2,0.9827494464552684,0.13280673236461082,106.8458434705935
SXS:BBH:0005,10,2,1,0.9854307893165469,0.06416490104866919,53.42292173529675
SXS:BBH:0005,10,3,3,0.5300579458007378,0.0791456966466611,160.26876520589025
SXS:BBH:0005,10,4,4,0.925480954744698,0.10385214640167749,213.691686941187
SXS:BBH:0005,10,3,2,0.9246066584697767,0.014271016688327122,106.8458434705935
SXS:BBH:0005,10,4,3,0.4053046881362654,0.06282239510303948,160.26876520589025
SXS:BBH:0005,15,2,2,0.9839213863137364,0.015707676415857366,71.27686454491108
SXS:BBH:0005,15,2,1,0.9849619475561697,0.06469487600513425,35.63843227245554
SXS:BBH:0005,15,3,3,0.8852954377260723,0.5763542530905958,106.91529681736662
SXS:BBH:0005,15,4,4,0.9580166672938973,0.18149840453053312,142.55372908982216
SXS:BBH:0005,15,3,2,0.967567289241292,0.01713479276546659,71.27686454491108
SXS:BBH:0005,15,4,3,0.8726299071284389,0.36956685052779314,106.91529681736662
SXS:BBH:0005,20,2,2,0.9835040717801535,0.010476348623360592,53.47869722638371
SXS:BBH:0005,20,2,1,0.985288203964922,0.0249515305404205,26.739348613191854
SXS:BBH:0005,20,3,3,0.8929799568523963,0.029837234880629948,80.21804583957557
